System	Type	pTM+ipTM	pDockQ	minShared	maxShared
mt13	AT	0.8358208965535258	0.357	0.5813953488372093	0.7194244604316546	
mt13	AT	0.8355573184405134	0.432	0.5813953488372093	0.8130081300813008	
mt13	AT	0.8355487513783725	0.424	0.5988372093023255	0.7862595419847328	
mt13	AT	0.8352429002089661	0.413	0.5872093023255814	0.7372262773722628	
mt13	AT	0.8347913723031839	0.412	0.5348837209302325	0.7863247863247863	
mt13	AT	0.8347672943191579	0.468	0.563953488372093	0.7348484848484849	
mt13	AT	0.8333307433298927	0.429	0.563953488372093	0.8083333333333333	
mt13	AT	0.8309603794305084	0.328	0.5465116279069767	0.7580645161290323	
mt13	AT	0.8272156045515834	0.296	0.6395348837209303	0.7692307692307693	
mt13	AT	0.8203465275515978	0.341	0.5174418604651163	0.664179104477612	
mt13	AT	0.8185911057216873	0.393	0.5813953488372093	0.7246376811594203	
mt13	AT	0.8182617227038462	0.354	0.6162790697674418	0.7969924812030075	
mt13	AT	0.8165832553565757	0.28	0.5523255813953488	0.8050847457627118	
mt13	AT	0.815873415503928	0.349	0.5872093023255814	0.7890625	
mt13	AT	0.8124314890371717	0.334	0.5872093023255814	0.7890625	
mt13	AT	0.8114961459658145	0.278	0.5348837209302325	0.7540983606557377	
mt13	ATC	0.5693929614878754				
mt13	ATC	0.566793652176399				
mt13	ATC	0.555420808500101				
mt13	ATC	0.5533209240163087				
mt13	ATC	0.5532595331876978				
mt13	ATC	0.5472145063816769				
mt13	ATC	0.5453925258551139				
mt13	ATC	0.5437049417214037				
mt13	ATC	0.5426477500730477				
mt13	ATC	0.539691841823299				
mt13	ATC	0.5383545606043024				
mt13	ATC	0.5370426298527617				
mt13	ATC	0.5364539090562599				
mt13	ATC	0.528402373739616				
mt13	ATC	0.5259555151512638				
mt13	ATC	0.525878632584538				
mt13	ATC	0.5246652154317196				
mt13	ATC	0.5238640462243724				
mt13	ATC	0.521965646760129				
mt13	ATC	0.520065394414873				
mt13	ATC	0.5167457228523822				
mt13	ATC	0.5142273558693341				
mt13	ATC	0.5112059892052834				
mt13	ATC	0.5077537866094021				
mt13	ATC	0.504487474700237				
mt13	TC	0.3418564557846735	0.155	0.09302325581395349	0.5161290322580645	
mt13	TC	0.2579157708836492	0.117	0.09302325581395349	0.5161290322580645	
mt13	TC	0.2351716974783015	0.074	0.0755813953488372	0.52	
mt13	TC	0.22138726841517836	0.061	0.06395348837209303	0.5	
mt13	TC	0.21487843914496266	0.061	0.05232558139534884	0.4090909090909091	
mt13	TC	0.1966252041919218	0.061	0.029069767441860465	0.21739130434782608	
mt13	TC	0.1916154280762613	0.038	0.06395348837209303	0.5238095238095238	
